#  7     1
G13   0.00181 0.9  P
G14   0.00324 0.9  P
#  5447  59
G01   0.01164 0.9  P
G02   0.03261 0.9  P
G03   0.00986 0.9  P
G04   0.00076 0.9  P
G05   0.00328 0.9  P
G06   0.00677 0.9  P
G07   0.02890 0.9  P
G08   0.00188 0.9  P
G09   0.00504 0.9  P
G10   0.00449 0.9  P
G13   0.00214 0.7  P
#  5498  60
G03   0.00334 0.9  P
G08   0.00523 0.9  P
G09   0.00959 0.9  P
G12   0.00323 0.9  P
#  5834  61
G01   0.01443 0.9  P
G03   0.01226 0.9  P
G06   0.00508 0.9  P
G07   0.00133 0.9  P
G10   0.01193 0.9  P
G12   0.00035 0.9  P
G13   0.01133 0.9  P
G14   0.01116 0.9  P
G16   0.00383 0.9  P
#  5835  62
G01   0.00647 0.9  P
G04   0.00116 0.9  P
G06   0.00765 0.9  P
#  5881  63
G01   0.00247 0.9  P
G03   0.00710 0.9  P
G05   0.00054 0.9  P
G06   0.01420 0.9  P
G07   0.01571 0.9  P
G08   0.00169 0.9  P
#  5905  64
G01   0.00683 0.9  P
G03   0.00588 0.9  P
G06   0.00220 0.9  P
G07   0.01318 0.9  P
G08   0.00012 0.9  P
G09   0.00949 0.9  P
G10   0.00623 0.9  P
G12   0.00550 0.9  P
G13   0.00035 0.9  P
G14   0.00701 0.9  P
G16   0.00738 0.9  P
#  5956  65
G04   0.00138 0.9  P
G06   0.00460 0.9  P
G07   0.01872 0.9  P
#  5972  66
G01   0.00026 0.9  P
G02   0.00650 0.9  P
G03   0.00058 0.9  P
G05   0.00030 0.9  P
G06   0.00335 0.9  P
G12   0.00121 0.9  P
G13   0.00513 0.9  P
G14   0.00114 0.9  P
G16   0.00270 0.9  P
#  6018  67
G03   0.02027 0.9  P
G05   0.00813 0.9  P
G08   0.04380 0.9  P
G14   0.00094 0.9  P
#  6137  68
G03   0.00066 0.9  P
G06   0.00610 0.9  P
G07   0.00316 0.9  P
G09   0.00950 0.9  P
G10   0.00050 0.9  P
G12   0.00303 0.9  P
G13   0.01575 0.9  P
#  6148  69
G01   0.00396 0.9  P
G02   0.01048 0.9  P
G03   0.00059 0.9  P
G04   0.01068 0.9  P
G05   0.00082 0.9  P
G06   0.00014 0.9  P
G09   0.00275 0.9  P
G10   0.00227 0.9  P
G12   0.00728 0.9  P
G13   0.00795 0.9  P
G14   0.00297 0.9  P
#  6151  70
G06   0.00532 0.9  P
G07   0.00188 0.9  P
G10   0.00017 0.9  P
#  6231  71
G01   0.00867 0.9  P
G02   0.03182 0.9  P
G03   0.00692 0.9  P
G04   0.04162 0.9  P
G05   0.01285 0.9  P
G06   0.01526 0.9  P
G07   0.01048 0.9  P
G09   0.01593 0.9  P
G10   0.00708 0.9  P
G13   0.00668 0.9  P
#  6246  72
G01   0.01645 0.9  P
G02   0.03624 0.9  P
G03   0.01866 0.9  P
G05   0.00597 0.9  P
G06   0.01348 0.9  P
G07   0.00328 0.9  P
G13   0.00256 0.9  P
G14   0.00863 0.9  P
#  6266  73
G03   0.00660 0.9  P
G04   0.00623 0.9  P
G05   0.00785 0.9  P
G09   0.00383 0.9  P
G12   0.01189 0.9  P
G13   0.00730 0.9  P
G14   0.01009 0.9  P
#  6299  74
G02   0.01820 0.9  P
G03   0.00240 0.9  P
G04   0.00269 0.9  P
G05   0.00547 0.9  P
G06   0.00981 0.9  P
G07   0.00132 0.9  P
G09   0.00017 0.9  P
G12   0.00837 0.9  P
G13   0.01875 0.9  P
#  6359  75
G02   0.02230 0.9  P
G03   0.01078 0.9  P
G04   0.03508 0.9  P
G05   0.01034 0.9  P
G06   0.01540 0.9  P
G07   0.00197 0.9  P
G09   0.00010 0.9  P
G12   0.00013 0.9  P
G13   0.00281 0.9  P
G14   0.00709 0.9  P
#  6422  76
G01   0.00593 0.9  P
G08   0.00939 0.9  P
G09   0.00505 0.9  P
G10   0.00364 0.9  P
G12   0.00547 0.9  P
G13   0.00518 0.9  P
G14   0.01367 0.9  P
#  6499  77
G06   0.02381 0.9  P
G07   0.08660 0.9  P
G08   0.04128 0.9  P
G12   0.07787 0.9  P
G13   0.04728 0.9  P
#  6503  78
G04   0.01073 0.9  P
G09   0.00387 0.9  P
G10   0.00100 0.9  P
G12   0.00032 0.9  P
G13   0.00497 0.9  P
G14   0.00962 0.9  P
#  6680  79
G01   0.00002 0.9  P
G02   0.00832 0.9  P
G03   0.00051 0.9  P
#  6683  80
G07   0.00053 0.9  P
G08   0.01632 0.9  P
G12   0.00235 0.9  P
#  6698  81
G01   0.00275 0.9  P
G05   0.00852 0.9  P
G07   0.00754 0.9  P
G08   0.01427 0.9  P
G09   0.00168 0.9  P
G10   0.00018 0.9  P
G12   0.00487 0.9  P
G13   0.00203 0.9  P
G14   0.01146 0.9  P
#  6715  82
G05   0.02288 0.9  P
G10   0.00028 0.9  P
G12   0.00156 0.9  P
G13   0.00226 0.9  P
G14   0.00818 0.9  P
#  6761  83
G01   0.00389 0.9  P
G04   0.00113 0.9  P
G05   0.01220 0.9  P
G08   0.00332 0.9  P
G10   0.00027 0.9  P
G12   0.00307 0.9  P
G13   0.00501 0.9  P
#  6778  84
G01   0.00147 0.9  P
G03   0.00837 0.9  P
G05   0.01046 0.9  P
G08   0.01353 0.9  P
G09   0.00620 0.9  P
G12   0.00927 0.9  P
G13   0.01408 0.9  P
#  7395  85
G08   0.03006 0.9  P
G09   0.00943 0.9  P
G12   0.00095 0.9  P
G13   0.01390 0.9  P
G14   0.00355 0.9  P
#  7430  86
G05   0.00986 0.9  P
G07   0.01054 0.9  P
G08   0.03058 0.9  P
G13   0.00016 0.9  P
#  7575  87
G04   0.01403 0.9  P
G07   0.00326 0.9  P
G08   0.00402 0.9  P
G09   0.00167 0.9  P
G10   0.00353 0.9  P
#  7597  88
G03   0.00295 0.9  P
G04   0.00158 0.9  P
G05   0.00075 0.9  P
G06   0.01711 0.9  P
G09   0.00524 0.9  P
G12   0.00197 0.9  P
G13   0.00153 0.9  P
G14   0.00494 0.9  P
#  7774  89
G01   0.00142 0.9  P
G09   0.00091 0.9  P
G10   0.00110 0.9  P
G12   0.00005 0.9  P
G13   0.00579 0.9  P
#  7856  90
G01   0.00220 0.9  P
G02   0.01267 0.9  P
G03   0.00052 0.9  P
G04   0.00089 0.9  P
G05   0.00010 0.9  P
G06   0.00058 0.9  P
G07   0.00149 0.9  P
G10   0.00021 0.9  P
G12   0.00541 0.9  P
G13   0.00239 0.9  P
G14   0.00102 0.9  P
#  7874  91
G03   0.00109 0.9  P
G04   0.01502 0.9  P
G05   0.00031 0.9  P
G06   0.01472 0.9  P
G07   0.00324 0.9  P
G09   0.00188 0.9  P
G12   0.01154 0.9  P
G13   0.01565 0.9  P
#  8053  92
G03   0.00874 0.9  P
G06   0.00081 0.9  P
G08   0.00044 0.9  P
G09   0.00602 0.9  P
#  8116  93
G12   0.00473 0.9  P
G13   0.00051 0.9  P
G14   0.00261 0.9  P
G16   0.00143 0.9  P
#  8246  94
G03   0.00716 0.9  P
G06   0.01006 0.9  P
G07   0.00556 0.9  P
G08   0.00098 0.9  P
G09   0.00048 0.9  P
G12   0.02322 0.9  P
G13   0.00437 0.9  P
#  8256  95
G03   0.01739 0.9  P
G04   0.00007 0.9  P
G06   0.00273 0.9  P
G07   0.00033 0.9  P
G08   0.00027 0.9  P
G09   0.01366 0.9  P
G12   0.01454 0.9  P
G13   0.00005 0.9  P
G14   0.00184 0.9  P
#  8380  96
G01   0.00857 0.9  P
G03   0.01027 0.9  P
G06   0.01071 0.9  P
G07   0.00830 0.9  P
G09   0.00692 0.9  P
G10   0.00580 0.9  P
G12   0.01177 0.9  P
G13   0.00640 0.9  P
#  8431  97
G01   0.00145 0.9  P
G03   0.00014 0.9  P
G08   0.01103 0.9  P
G09   0.01493 0.9  P
#  8467  98
G01   0.00191 0.9  P
G03   0.00284 0.9  P
G06   0.00020 0.9  P
G07   0.01056 0.9  P
G08   0.00165 0.9  P
G09   0.00845 0.9  P
#  8497  99
G01   0.00088 0.9  P
G03   0.00481 0.9  P
G07   0.00911 0.9  P
G08   0.01060 0.9  P
G09   0.00054 0.9  P
G10   0.00139 0.9  P
G12   0.02042 0.9  P
G13   0.00238 0.9  P
#  8522  100
G03   0.00335 0.9  P
G04   0.00077 0.9  P
G05   0.00060 0.9  P
G06   0.01236 0.9  P
G08   0.04332 0.9  P
G09   0.01667 0.9  P
G13   0.00547 0.9  P
G14   0.00390 0.9  P
#  8609  101
G01   0.00194 0.9  P
G02   0.00944 0.9  P
G03   0.00028 0.9  P
G04   0.00433 0.9  P
G05   0.00469 0.9  P
G06   0.00764 0.9  P
G07   0.00210 0.9  P
G08   0.00796 0.9  P
G12   0.00025 0.9  P
G13   0.00256 0.9  P
G14   0.00359 0.9  P
G16   0.00284 0.9  P
#  8726  102
G01   0.00145 0.9  P
G03   0.01015 0.9  P
G06   0.00114 0.9  P
G07   0.00311 0.9  P
#  8765  103
G03   0.00109 0.9  P
G06   0.00558 0.9  P
G09   0.00080 0.9  P
G10   0.00037 0.9  P
G12   0.00719 0.9  P
G14   0.00202 0.9  P
#  8771  104
G01   0.00128 0.9  P
G02   0.03389 0.9  P
G03   0.00092 0.9  P
G06   0.00552 0.9  P
G10   0.00011 0.9  P
G12   0.00377 0.9  P
#  8772  105
G06   0.00054 0.9  P
G07   0.00008 0.9  P
G10   0.00341 0.9  P
#  8844  106
G01   0.00073 0.9  P
G02   0.01475 0.9  P
G03   0.00309 0.9  P
G06   0.00038 0.9  P
G07   0.00100 0.9  P
G08   0.00307 0.7  P
G09   0.00028 0.9  P
G10   0.00099 0.9  P
G12   0.00054 0.9  P
G13   0.01091 0.9  P
G14   0.00062 0.9  P
G16   0.00048 0.9  P
#  8878  107
G03   0.00084 0.9  P
G04   0.01307 0.9  P
G06   0.00561 0.9  P
G07   0.00323 0.9  P
G09   0.00620 0.9  P
G10   0.00616 0.9  P
G12   0.01168 0.9  P
G13   0.01457 0.9  P
#  8912  108
G03   0.00780 0.9  P
G04   0.00685 0.9  P
G06   0.01214 0.9  P
G07   0.00719 0.7  P
G09   0.00564 0.9  P
G10   0.00610 0.9  P
G13   0.00970 0.9  P
G14   0.00548 0.9  P
#  8963  109
G03   0.00991 0.9  P
G04   0.00131 0.9  P
G06   0.00454 0.9  P
G07   0.01185 0.9  P
G08   0.00198 0.9  P
#  9034  110
G03   0.00421 0.9  P
G06   0.01324 0.9  P
G07   0.00280 0.9  P
G09   0.01588 0.9  P
G10   0.00138 0.9  P
#  9067  111
G01   0.00196 0.9  P
G02   0.01085 0.9  P
G03   0.00065 0.9  P
G04   0.02008 0.9  P
G06   0.00057 0.9  P
G10   0.00230 0.9  P
G12   0.00198 0.9  P
G13   0.00367 0.9  P
G14   0.00139 0.9  P
G16   0.00216 0.9  P
#  9129  112
G03   0.00535 0.9  P
G04   0.01597 0.9  P
G07   0.01994 0.9  P
G08   0.04868 0.9  P
G09   0.03517 0.9  P
G10   0.00071 0.9  P
G13   0.00008 0.9  P
G16   0.00032 0.9  P
#  9276  113
G01   0.00389 0.9  P
G03   0.00463 0.9  P
G08   0.00064 0.9  P
G09   0.00155 0.9  P
G12   0.00112 0.9  P
G13   0.00004 0.9  P
G14   0.00219 0.9  P
#  9277  114
G01   0.00475 0.9  P
G09   0.00406 0.9  P
G12   0.00037 0.9  P
G13   0.00077 0.9  P
#  9555  115
G01   0.00453 0.9  P
G03   0.00290 0.9  P
G04   0.00574 0.9  P
G05   0.00638 0.9  P
G06   0.00819 0.9  P
G09   0.00644 0.9  P
G10   0.00042 0.9  P
G12   0.00028 0.9  P
G13   0.00538 0.7  P
G14   0.00433 0.9  P
G16   0.00152 0.9  P
#  9560  116
G01   0.00265 0.9  P
G02   0.01672 0.9  P
G03   0.00938 0.9  P
G06   0.01579 0.9  P
G07   0.00436 0.9  P
G09   0.00611 0.9  P
G10   0.00013 0.9  P
G12   0.00314 0.9  P
G13   0.00312 0.9  P
G14   0.00099 0.9  P
G16   0.00034 0.9  P
#  9607  117
G06   0.01568 0.9  P
G07   0.00380 0.9  P
G09   0.00819 0.9  P
G10   0.00090 0.9  P
G12   0.00048 0.9  P
#  9772  118
G03   0.00085 0.9  P
G04   0.02109 0.9  P
G06   0.00859 0.9  P
G09   0.01688 0.9  P
G10   0.00360 0.9  P
G13   0.01528 0.9  P
#  11737 119
G01   0.00174 0.9  P
G02   0.00014 0.9  P
G03   0.00005 0.9  P
G06   0.00522 0.9  P
G07   0.01443 0.9  P
G08   0.00028 0.9  P
#  11835 120
G03   0.00227 0.9  P
G09   0.01393 0.9  P
G12   0.01454 0.9  P
G13   0.01698 0.9  P
#  11896 121
G09   0.01039 0.9  P
G12   0.00635 0.9  P
G13   0.00428 0.9  P
#  11930 122
G07   0.01710 0.9  P
G09   0.01483 0.9  P
G10   0.00314 0.7  P
G12   0.00566 0.9  P
G16   0.02213 0.9  P
#  11944 123
G03   0.02362 0.9  P
G04   0.00221 0.9  P
G06   0.00045 0.9  P
G07   0.00303 0.9  P
#  12161 124
G07   0.00844 0.9  P
G08   0.04400 0.9  P
G10   0.00491 0.9  P
G12   0.00149 0.9  P
G13   0.00000 0.9  P
G14   0.00038 0.9  P
#  12249 125
G06   0.02054 0.9  P
G08   0.03080 0.9  P
G10   0.00036 0.9  P
G13   0.00095 0.9  P
G16   0.00059 0.9  P
#  12303 126
G01   0.00516 0.9  P
G03   0.00076 0.9  P
G04   0.00521 0.9  P
G05   0.00492 0.9  P
G06   0.00580 0.9  P
G07   0.00032 0.9  P
G09   0.00204 0.9  P
G12   0.00105 0.9  P
G13   0.00553 0.9  P
G14   0.00397 0.9  P
G16   0.00347 0.7  P
#  12314 127
G01   0.01435 0.9  P
G02   0.03120 0.9  P
G03   0.01104 0.9  P
G04   0.00858 0.9  P
G05   0.00718 0.9  P
G06   0.02472 0.9  P
G09   0.00190 0.9  P
G12   0.00074 0.9  P
G13   0.01312 0.9  P
G14   0.02686 0.9  P
#  12322 128
G01   0.00831 0.9  P
G02   0.01694 0.9  P
G03   0.00366 0.9  P
G04   0.00388 0.9  P
G05   0.00384 0.9  P
G06   0.00378 0.9  P
G07   0.00263 0.9  P
G09   0.00359 0.7  P
G12   0.00046 0.9  P
G14   0.00932 0.9  P
G16   0.00204 0.9  P
#  12343 129
G01   0.00277 0.9  P
G03   0.00424 0.9  P
G04   0.02789 0.9  P
G05   0.00526 0.9  P
G06   0.00751 0.9  P
G09   0.00059 0.9  P
G12   0.00492 0.9  P
#  12372 130
G01   0.00490 0.9  P
G02   0.00590 0.9  P
G03   0.00151 0.9  P
G04   0.00390 0.9  P
G05   0.00527 0.9  P
G06   0.00949 0.9  P
G07   0.00783 0.9  P
G08   0.03209 0.9  P
G10   0.00346 0.9  P
G13   0.00682 0.9  P
G16   0.00109 0.9  P
#  12411 131
G01   0.00557 0.9  P
G03   0.01651 0.9  P
G04   0.00708 0.9  P
G05   0.00455 0.9  P
G06   0.00971 0.9  P
G07   0.00557 0.9  P
G09   0.00104 0.9  P
G12   0.00084 0.9  P
G14   0.01345 0.9  P
G16   0.00078 0.9  P
#  12482 132
G01   0.00151 0.9  P
G02   0.00983 0.9  P
G04   0.00605 0.9  P
G06   0.00004 0.9  P
G07   0.00037 0.9  P
G09   0.00184 0.9  P
G10   0.00100 0.9  P
G12   0.00049 0.9  P
G13   0.00010 0.9  P
G14   0.00044 0.9  P
#  12710 133
G04   0.01287 0.9  P
G08   0.00151 0.9  P
G16   0.01091 0.9  P
#  12851 134
G04   0.00647 0.9  P
G06   0.02617 0.9  P
G09   0.00003 0.9  P
G10   0.00337 0.9  P
G12   0.00164 0.9  P
G13   0.00072 0.9  P
G16   0.00540 0.9  P
#  12976 135
G03   0.01062 0.9  P
G05   0.00026 0.9  P
G06   0.00140 0.9  P
G07   0.00077 0.9  P
G08   0.00455 0.9  P
G12   0.00173 0.9  P
